symbol,name,industry,price_date,market_price,fair_value,upside,pe_ratio,eps,nav_per_share,roe_annual
3303,岱稜,其他電子業,2026-02-06,44.6,141.35988014948532,216.95040392261285,0.0,3.52,24.66,57.09651257096513
3306,鼎天,通信網路業,2026-02-06,46.1,145.60720530703438,215.85077073109412,0.0,1.81,68.38,10.587891196256216
1416,廣豐,其他業,2026-02-06,11.7,36.87029944467291,215.13076448438383,15.0,0.65,22.62,11.494252873563218
2380,虹光,電腦及週邊設備業,2026-02-06,4.91,15.469231389904897,215.0556291222993,0.0,0.47,1.95,96.41025641025641
6556,勝品,光電業,2026-02-06,67.8,212.90703108445146,214.0221697410789,0.0,4.92,53.56,36.743838685586255
2910,統領,貿易百貨業,2026-02-06,20.9,65.58620446873626,213.80959075950364,17.42,0.9,15.45,23.300970873786408
3501,維熹,電子零組件業,2026-02-06,50.8,159.29243967301954,213.56779463192822,11.12,2.59,56.07,18.476903870162296
2641,正德,航運業,2026-02-06,19.4,60.554492155170095,212.13655750087682,0.0,1.55,23.25,26.666666666666668
6474,華豫寧,電子通路業,2026-02-06,35.75,111.53573256606876,211.98806312187065,0.0,2.84,30.61,37.11205488402483
8261,富鼎,半導體業,2026-02-06,89.9,279.7187322854328,211.14430732528672,16.02,4.05,48.17,33.63089059580652
2459,敦吉,其他電子業,2026-02-06,65.1,202.43739275459401,210.96373695022126,11.84,4.39,51.01,34.4246226230151
2701,萬企,觀光餐旅,2026-02-06,10.9,33.86011883103229,210.64329202781917,21.8,0.49,18.25,10.73972602739726
5538,東明-KY,鋼鐵工業,2026-02-06,30.15,93.4583537807349,209.97795615500797,11.17,2.27,34.45,26.357039187227866
3317,尼克森,半導體業,2026-02-06,46.65,144.5562508576726,209.87406400358543,0.0,1.83,35.69,20.509946763799388
2852,第一保,金融保險業,2026-02-06,27.35,84.72398496320265,209.7769102859329,9.63,2.43,29.47,32.9826942653546
7712,博盛半導體,半導體業,2026-02-06,85.7,265.3052364964153,209.57437164109137,0.0,3.57,56.57,25.24306169347711
6509,聚和,化學工業,2026-02-06,33.8,104.40221732331004,208.88229977310667,0.0,2.35,25.6,36.71875
5206,坤悅,建材營造業,2026-02-06,29.9,92.07556409415069,207.94503041521972,0.0,3.69,21.77,67.79972439136426
6278,台表科,光電業,2026-02-06,96.3,296.49883059395046,207.89078981718637,10.34,6.9,73.09,37.76166370228486
6807,峰源-KY,居家生活,2026-02-06,45.55,140.160115157563,207.70607059838207,6.98,3.77,45.31,33.28183623924079
6208,日揚,半導體業,2026-02-06,44.55,137.03718630259897,207.60311179034562,0.0,1.78,31.9,22.31974921630094
6271,同欣電,半導體業,2026-02-06,147.5,451.8921297943427,206.36754562328318,20.43,5.41,125.22,17.281584411435873
4942,嘉彰,光電業,2026-02-06,37.05,113.48472010411928,206.30153874256217,12.43,1.77,60.45,11.712158808933001
4439,冠星-KY,紡織纖維,2026-02-06,102.5,313.44769460146694,205.80262887947995,17.61,7.71,84.66,36.42806520198441
2458,義隆,半導體業,2026-02-06,117.0,357.5004772139907,205.55596343076127,14.5,5.96,33.45,71.27055306427503
2385,群光,電子零組件業,2026-02-06,119.5,364.6642994551667,205.15840958591357,10.55,8.01,56.72,56.48801128349788
2528,皇普,建材營造業,2026-02-06,27.0,82.34027236888264,204.96397173660233,3.88,3.39,17.88,75.83892617449665
3426,台興,電機機械,2026-02-06,45.75,139.11441756847955,204.07522965787882,0.0,2.09,26.97,30.99740452354468
8473,山林水,綠能環保,2026-02-06,36.7,111.22117590248787,203.05497521113858,17.56,2.05,37.2,22.04301075268817
1565,精華,生技醫療業,2026-02-06,114.0,345.35993694983273,202.94731311388836,0.0,6.69,127.25,21.029469548133598
6435,大中,半導體業,2026-02-06,130.0,393.5196334212196,202.7074103240151,0.0,6.13,51.59,47.5285908121729
3605,宏致,電子零組件業,2026-02-06,61.1,184.60062342937798,202.1286799171489,14.55,3.51,46.1,30.455531453362255
4581,光隆精密-KY,汽車工業,2026-02-06,50.5,152.29171148946793,201.56774552369887,9.51,3.91,33.97,46.04062408007065
2115,六暉-KY,汽車工業,2026-02-06,23.95,72.15515605221195,201.2741380050603,11.86,1.48,29.28,20.21857923497268
6996,力領科技,半導體業,2026-02-06,163.0,490.067959374346,200.6551898002123,0.0,7.74,60.47,51.19894162394576
6591,動力-KY,電腦及週邊設備業,2026-02-06,64.2,192.88737243287656,200.44762061195723,12.94,4.65,51.93,35.81744656268053
2010,春源,鋼鐵工業,2026-02-06,21.85,65.37561869800875,199.20191623802629,9.84,1.74,19.04,36.5546218487395
8011,台通,通信網路業,2026-02-06,20.1,59.87626083740923,197.89184496223493,7.56,1.0,19.26,20.768431983385252
7791,皇家可口,食品工業,2026-02-06,70.2,208.97202608330954,197.68094883662326,11.53,5.38,40.53,53.09647174932148
1603,華電,電器電纜,2026-02-06,38.45,114.42173282396135,197.58578107662248,10.48,3.03,46.51,26.058912061922168
1708,東鹼,化學工業,2026-02-06,34.15,101.53324324813639,197.31549999454285,11.5,2.2,27.82,31.63191948238677
1336,台翰,電子零組件業,2026-02-06,15.6,46.37986171731657,197.30680588023444,0.0,0.6,22.9,10.480349344978167
4933,友輝,光電業,2026-02-06,56.2,166.66922142426827,196.5644509328617,0.0,3.81,43.23,35.25329632199862
1725,元禎,化學工業,2026-02-06,26.4,78.0997184114741,195.83226671012918,16.4,1.37,33.96,16.13663133097762
6221,晉泰,資訊服務業,2026-02-06,28.8,84.88899482484571,194.7534542529365,0.0,1.84,24.8,29.677419354838708
3052,夆典,建材營造業,2026-02-06,11.45,33.65042964023324,193.89021519854361,9.54,0.95,17.09,22.235225277940316
3388,崇越電,電子零組件業,2026-02-06,61.9,181.5584171549898,193.30923611468464,0.0,3.06,59.69,20.505947394873512
7753,星亞,光電業,2026-02-06,42.45,124.38772788000004,193.02173823321561,0.0,3.23,21.05,61.37767220902612
2706,第一店,觀光餐旅,2026-02-06,12.8,37.503851431915756,192.99883931184183,22.07,0.56,19.57,11.446090955544202
3062,建漢,通信網路業,2026-02-06,24.05,70.15019128597267,191.6847870518614,17.3,1.47,13.84,42.48554913294797
5871,中租-KY,其他業,2026-02-06,105.0,305.7959965336095,191.23428241296145,10.17,8.45,92.86,36.398880034460475
6170,統振,通信網路業,2026-02-06,50.0,145.4430692840842,190.8861385681684,0.0,3.38,20.36,66.40471512770138
1537,廣隆,電機機械,2026-02-06,123.0,357.76813127601736,190.8683994113962,14.86,5.76,50.33,45.77786608384661
6532,瑞耘,半導體業,2026-02-06,54.3,157.8071302199346,190.62086596673043,0.0,2.25,28.54,31.534688156972674
6261,久元,半導體業,2026-02-06,72.4,210.29857471262468,190.46764463069707,0.0,2.7,50.3,21.471172962226643
4207,環泰,食品工業,2026-02-06,18.9,54.871025540369395,190.32288645698094,0.0,1.31,13.7,38.24817518248175
2505,國揚,建材營造業,2026-02-06,18.85,54.69901661102239,190.1804594749198,11.22,1.54,27.9,22.078853046594986
6136,富爾特,通信網路業,2026-02-06,23.85,69.00491962766357,189.32880347028748,23.38,0.95,29.03,13.089906992766103
2248,華勝-KY,汽車工業,2026-02-06,46.1,132.91307694657038,188.31470053485984,9.6,3.36,31.27,42.980492484809716
4111,濟生,生技醫療業,2026-02-06,29.65,85.27931678282538,187.61995542268258,0.0,1.98,22.33,35.467980295566505
6104,創惟,半導體業,2026-02-06,96.0,275.77557134841845,187.26622015460254,0.0,4.65,24.11,77.14641227706348
6279,胡連,電子零組件業,2026-02-06,111.5,319.02722679098497,186.12307335514348,0.0,6.27,72.72,34.48844884488448
2379,瑞昱,半導體業,2026-02-06,472.5,1349.9918866968208,185.71256861308376,15.64,23.59,92.5,102.01081081081081
2618,長榮航,航運業,2026-02-06,38.6,110.02002488231881,185.02597119771713,8.01,3.43,24.39,56.25256252562526
6637,醫影,生技醫療業,2026-02-06,76.9,218.9545166516584,184.72628953401608,0.0,5.8,40.18,57.74016923842707
5287,數字,數位雲端,2026-02-06,165.0,468.5339060209213,183.9599430429826,0.0,9.92,37.3,106.38069705093835
4167,松瑞藥,生技醫療業,2026-02-06,19.95,56.49930292733751,183.20452595156647,0.0,1.43,11.89,48.107653490328
6651,全宇昕,半導體業,2026-02-06,98.0,276.7071618676933,182.35424680376866,0.0,4.35,34.86,49.91394148020654
6192,巨路,其他電子業,2026-02-06,119.0,335.7053285282736,182.1053180909862,10.83,7.66,75.01,40.847886948406874
1529,樂事綠能,電機機械,2026-02-06,22.6,63.71086923804376,181.90650105329095,30.54,0.97,11.69,33.19076133447391
2206,三陽工業,汽車工業,2026-02-06,60.7,170.7504606494961,181.30224159719288,10.12,4.6,31.74,57.971014492753625
7805,威聯通,數位雲端,2026-02-06,560.0,1573.3521203606658,180.95573577869033,0.0,30.84,186.66,66.08807457409193
2303,聯電,半導體業,2026-02-06,61.9,173.44656536860012,180.20446747754463,19.34,2.54,28.76,35.32684283727399
5469,瀚宇博,電子零組件業,2026-02-06,93.6,262.02351793155043,179.93965590977612,14.38,4.93,67.25,29.323420074349443
1709,和益,化學工業,2026-02-06,16.8,47.00632102288481,179.79952989812386,16.31,0.87,18.53,18.780356179168916
