symbol,name,industry,price_date,market_price,report_quarter,pe_ratio,value_score,eps_yoy,growth_score,avg_revenue_yoy_3m,momentum_score,op_margin,profit_score,cash_quality,quality_score,equity_to_assets_ratio,safety_score,total_score
1337,再生-KY,塑膠工業,2025-04-28,5.73,2024Q4,0.0,0.0,-0.65,0.0,0.0,0.0,-41.18386168134198,0.0,0.0,0.0,65.6386888450192,100.0,10.0
1325,恆大,塑膠工業,2025-04-28,25.5,2024Q4,0.0,0.0,-385.71,0.0,-8.69,0.0,-25.189593842256663,0.0,0.0,0.0,93.6592739572725,100.0,10.0
8092,建暐,其他電子業,2025-04-28,18.65,2024Q4,0.0,0.0,-1766.67,0.0,-28.183333333333337,0.0,-9.358471466531697,0.0,0.0,0.0,63.0,100.0,10.0
8093,保銳,電子零組件業,2025-04-28,14.65,2024Q4,0.0,0.0,-89.22,0.0,-34.88333333333333,0.0,-69.8796986390149,0.0,0.0,0.0,63.0,100.0,10.0
6269,台郡,電子零組件業,2025-04-28,51.3,2024Q4,0.0,0.0,-139.69,0.0,-23.013333333333335,0.0,-6.859949155533047,0.0,0.0,0.0,62.0399073164657,100.0,10.0
6198,瑞築,建材營造業,2025-04-28,34.75,2024Q4,0.0,0.0,-123.63,0.0,-38.333333333333336,0.0,-2115.1502327549724,0.0,0.0,0.0,79.0,100.0,10.0
6875,國邑*,生技醫療業,2025-04-28,50.9,2024Q4,0.0,0.0,-1985.71,0.0,-100.0,0.0,-130.43480855533275,0.0,0.0,0.0,90.0,100.0,10.0
6872,浩宇生醫,生技醫療業,2025-04-28,23.9,2024Q4,0.0,0.0,-33.33,0.0,0.0,0.0,-402.76788957500906,0.0,0.0,0.0,88.0,100.0,10.0
3437,榮創,光電業,2025-04-28,15.95,2024Q4,0.0,0.0,-34.29,0.0,-9.496666666666666,0.0,-12.202585681660057,0.0,0.0,0.0,75.6673349157536,100.0,10.0
1516,川飛,其他業,2025-04-28,14.35,2024Q4,0.0,0.0,-1957.58,0.0,-90.48,0.0,-43.94912760004223,0.0,0.0,0.0,95.5022607560714,100.0,10.0
4198,欣大健康,生技醫療業,2025-04-28,29.8,2024Q4,0.0,0.0,-138.08,0.0,-12.733333333333333,0.0,-28.2965935200293,0.0,0.0,0.0,60.0,100.0,10.0
3067,全域,其他電子業,2025-04-28,20.7,2024Q4,0.0,0.0,-186.32,0.0,-36.75333333333334,0.0,-54.99095053724026,0.0,0.0,0.0,83.0,100.0,10.0
2369,菱生,半導體業,2025-04-28,14.0,2024Q4,0.0,0.0,-7.14,0.0,-10.666666666666666,0.0,-7.134717899846628,0.0,0.0,0.0,70.3864866991028,100.0,10.0
6550,北極星藥業-KY,生技醫療業,2025-04-28,36.7,2024Q4,0.0,0.0,-66.67,0.0,0.0,0.0,-2462.5093457943926,0.0,0.0,0.0,73.6533545130929,100.0,10.0
4108,懷特,生技醫療業,2025-04-28,13.2,2024Q4,0.0,0.0,-54.17,0.0,-4.34,0.0,-104.31161355022726,0.0,0.0,0.0,77.9351305709379,100.0,10.0
1301,台塑,塑膠工業,2025-04-28,33.85,2024Q4,0.0,0.0,-116.52,0.0,0.4433333333333331,2.2166666666666655,-2.0804552993501857,0.0,0.0,0.0,58.1649436691311,95.41235917282775,9.984569250616108
2331,精英,電腦及週邊設備業,2025-04-28,15.5,2024Q4,0.0,0.0,-108.79,0.0,2.523333333333333,12.616666666666665,-2.94983254461595,0.0,0.0,0.0,49.6177246826108,74.044311706527,9.927764503986033
1440,南紡,紡織纖維,2025-04-28,12.0,2024Q4,0.0,0.0,-126.77,0.0,-0.15666666666666687,0.0,-5.046430095756019,0.0,0.0,0.0,59.5649669929075,98.91241748226875,9.891241748226875
6125,廣運,光電業,2025-04-28,61.6,2024Q4,0.0,0.0,-117.5,0.0,5.383333333333333,26.916666666666668,-26.358561748593356,0.0,0.0,0.0,38.0,45.0,9.883333333333333
8044,網家,數位雲端,2025-04-28,37.7,2024Q4,0.0,0.0,18.56,37.12,-6.746666666666666,0.0,-0.9417233660058684,0.0,0.0,0.0,22.0,5.0,9.78
8087,麗升能源,綠能環保,2025-04-28,40.5,2024Q4,0.0,0.0,-85.12,0.0,-70.95,0.0,1.8659283540094311,0.0,-12.506613875641142,0.0,59.0,97.5,9.75
5348,正能量智能,運動休閒,2025-04-28,22.5,2024Q4,0.0,0.0,-261.36,0.0,-9.283333333333333,0.0,-1.4685515595302991,0.0,0.0,0.0,58.0,95.0,9.5
6770,力積電,半導體業,2025-04-28,14.15,2024Q4,0.0,0.0,-310.0,0.0,2.7566666666666664,13.783333333333331,-17.80958871306906,0.0,0.0,0.0,46.9221184427235,67.30529610680875,9.487196277347541
3057,喬鼎,電腦及週邊設備業,2025-04-28,8.5,2024Q4,0.0,0.0,-5.81,0.0,-1.3099999999999998,0.0,-20.822167790199444,0.0,0.0,0.0,57.8015954057229,94.50398851430725,9.450398851430725
2104,國際中橡,橡膠工業,2025-04-28,10.65,2024Q4,0.0,0.0,-449.02,0.0,-3.5333333333333328,0.0,-3.1794272478323236,0.0,0.0,0.0,57.5598034483127,93.89950862078175,9.389950862078175
4439,冠星-KY,紡織纖維,2025-04-28,81.8,2024Q4,47.28,0.0,-84.01,0.0,0.0,0.0,3.1882088528480375,0.0,0.3541739646953105,0.0,56.3573439172727,90.89335979318174,9.089335979318175
6282,康舒,電子零組件業,2025-04-28,25.65,2024Q4,0.0,0.0,-157.14,0.0,2.676666666666666,13.383333333333331,-0.38735958475345306,0.0,0.0,0.0,44.3630388457489,60.90759711437226,8.767426378103892
6248,沛波,鋼鐵工業,2025-04-28,25.3,2024Q4,0.0,0.0,-23.63,0.0,-5.509999999999999,0.0,2.0204577602632927,0.0,-1.6274177687865778,0.0,55.0,87.5,8.75
3707,漢磊,半導體業,2025-04-28,34.35,2024Q4,0.0,0.0,-855.0,0.0,-12.056666666666667,0.0,-11.604543297827716,0.0,0.0,0.0,54.0,85.0,8.5
6477,安集,光電業,2025-04-28,30.1,2024Q4,0.0,0.0,-155.37,0.0,-18.596666666666668,0.0,9.847549333768036,24.23774666884018,0.0,0.0,39.3763153129888,48.440788282472,8.479740828573227
2340,台亞,半導體業,2025-04-28,21.4,2024Q4,0.0,0.0,-265.71,0.0,0.7733333333333334,3.8666666666666667,-14.301110003332637,0.0,0.0,0.0,50.3544295701109,75.88607392527726,8.36194072586106
