symbol,name,naive_pred_eps,year,market,q2_rev,q2_margin,q2_eps,q3_rev_total,target_eps
2356,英業達,0.5366400167511646,2024,sii,154158798.0,0.011752147937738851,0.51,163815390.0,0.56
3443,創意,6.661770979716048,2024,sii,6719781.0,0.13503297205667864,6.78,6611397.0,7.71
6491,晶碩,6.24470368903742,2024,sii,1638349.0,0.293597395915034,6.08,1659030.0,5.61
3714,富采,-0.6681920949348119,2024,sii,6606270.0,-0.0751872085155466,-0.41,6691416.0,0.01
9925,新保,0.9481160893937055,2024,sii,1951402.0,0.1855558208918511,0.88,1979917.0,0.46
8438,昶昕,0.7726308901758622,2024,sii,918280.0,0.05851265409243368,0.77,923563.0,0.64
2849,安泰銀,,2024,sii,0.0,0.0,0.17,1474224.0,0.24
1521,大億,0.36749481679875995,2024,sii,1001035.0,0.03490287552383283,0.46,802631.0,-0.02
3046,建碁,1.1624743154240338,2024,sii,1933504.0,0.04036557462513654,1.01,2259197.0,1.25
1598,岱宇,-0.726034337747554,2024,sii,1499287.0,-0.07649702825409678,-0.71,1586347.0,-0.81
