symbol,name,q2_rev,q2_ni,q2_ocf,q2_retained_earnings,rev_m7,rev_m8,rev_m9,year,q2_eps,q2_margin,ly_q3_eps,rev_trend_m8_m7,rev_trend_m9_m8,q2_ocf_ratio,q2_re_ratio,target_eps
6446,藥華藥,86762.0,-540678.0,-657648.0,-3367884.0,33618.0,30766.0,27678.0,2021,-2.08,-6.231737396556096,-2.53,-0.084835504789101,-0.1003705389065852,1.216339484868998,-1.2779437450126034,-2.7
2373,震旦行,3395111.0,368677.0,469443.0,4681958.0,1167614.0,1078680.0,1129244.0,2021,1.49,0.1085905586002931,2.21,-0.0761672950135918,0.0468758111766232,1.273317836480171,1.9821796975053183,1.78
6226,光鼎,238000.0,13043.0,37083.0,145517.0,79770.0,71152.0,116441.0,2021,0.15,0.0548025210084033,-0.06,-0.1080356023567757,0.6365105689228694,2.8431342482557693,0.1265895792845349,0.08
3437,榮創,992209.0,32315.0,612586.0,344839.0,301957.0,300291.0,315526.0,2021,0.22,0.0325687430773153,0.39,-0.0055173418731806,0.0507341212357346,5.0,0.2385636605141544,-0.1
8422,可寧衛*,593990.0,263731.0,361609.0,2472104.0,222122.0,263766.0,276644.0,2021,2.43,0.4439990572231855,3.01,0.187482554632139,0.0488235784748602,1.371128157099469,2.2703181250459186,2.58
6142,友勁,624547.0,-168520.0,-33216.0,-704751.0,211041.0,171532.0,152567.0,2021,-0.51,-0.2698275710234778,-0.31,-0.1872100681858027,-0.1105624606487419,0.1971042012817469,-0.2130578343499228,-0.65
1722,台肥,2610836.0,760322.0,1725112.0,39121873.0,901496.0,996228.0,1171517.0,2021,0.78,0.2912178321426547,0.51,0.1050831063033002,0.1759526935601087,2.268922903717109,3.992027857142857,0.8
2014,中鴻,13397363.0,2280826.0,1554827.0,4857626.0,5201624.0,5341704.0,5091940.0,2021,1.59,0.1702443980953565,0.17,0.0269300510763561,-0.0467573643167049,0.6816947018317048,0.3383821496569524,1.02
8473,山林水,867754.0,841.0,-159656.0,674668.0,268317.0,239911.0,305603.0,2021,-0.21,0.0009691686814465,0.19,-0.1058673136625707,0.2738182075853128,-5.0,0.5004498847657076,0.35
3704,合勤控,6084387.0,367192.0,161584.0,941555.0,1881295.0,2175800.0,2267408.0,2021,0.83,0.0603498758379439,0.88,0.1565437637372129,0.0421031344792719,0.4400531601995686,0.2099230854639152,0.98
1708,東鹼,1147618.0,130407.0,216314.0,3648841.0,390366.0,403997.0,426915.0,2021,0.57,0.1136327593328093,0.24,0.034918512370442,0.0567281440208713,1.6587606493516451,1.5972730921954337,0.52
6589,台康生技,372415.0,-147700.0,-23313.0,-3308673.0,403866.0,173837.0,78908.0,2021,-0.63,-0.3966005665722379,-0.19,-0.5695676288670004,-0.5460805237089917,0.1578402166553825,-1.3580801440881145,1.54
2727,王品,3673251.0,-235206.0,57242.0,1038082.0,1038113.0,1412361.0,1296139.0,2021,-2.78,-0.0640321067087438,3.64,0.3605079601160952,-0.0822891597828033,-0.2433696419309031,1.3483703283243211,-1.45
2497,怡利電,530331.0,-9688.0,-42054.0,-30004.0,191381.0,180444.0,201207.0,2021,-0.09,-0.018267836502109,-0.02,-0.0571477837402877,0.1150661701137194,4.34083402146986,-0.0252562111474471,0.07
2020,美亞,1669210.0,173672.0,-81705.0,950863.0,617158.0,595807.0,656789.0,2021,0.78,0.1040444282025628,0.75,-0.0345956789023231,0.1023519361135401,-0.4704558017412133,0.4273040330999375,0.87
6625,必應,84822.0,-71593.0,-57773.0,-174150.0,5772.0,43987.0,38474.0,2021,-1.6,-0.8440381033222513,0.56,6.62075537075537,-0.125332484597722,0.8069643680248069,-0.388091831686478,-0.92
2006,東和鋼鐵,14935680.0,1505121.0,-644803.0,11799306.0,4932499.0,4606354.0,4669117.0,2021,1.37,0.1007735168402108,0.79,-0.066121655574588,0.0136253097352048,-0.4284060882812744,1.0826328684283302,1.31
2450,神腦,6615724.0,108115.0,402251.0,2520732.0,2367247.0,2384301.0,2616877.0,2021,0.42,0.016342126727173,0.51,0.0072041489544605,0.0975447311392312,3.7205845627341256,0.9760718861796992,0.61
2528,皇普,464108.0,57519.0,-942241.0,-331620.0,136494.0,24601.0,14997.0,2021,0.18,0.1239345152421419,-0.31,-0.8197649713540522,-0.3903906345270517,-5.0,-0.1004917008437036,0.05
2434,統懋,40624.0,-4225.0,-1529.0,-27617.0,13151.0,14297.0,10851.0,2021,-0.14,-0.1040025600630169,-2.26,0.087141662231009,-0.241029586626565,0.3618934911242603,-0.0746405405405405,-0.33
2013,中鋼構,3500605.0,87870.0,1151886.0,1322669.0,1492706.0,1404325.0,1308938.0,2021,0.44,0.0251013753336923,0.55,-0.0592085782464866,-0.0679237356025136,5.0,0.6613345,0.63
2402,毅嘉,1646829.0,49303.0,192447.0,970953.0,558712.0,545468.0,505797.0,2021,0.17,0.0299381417257043,0.24,-0.0237045203969129,-0.0727283727001401,3.903352737155954,0.315719494850369,0.27
2206,三陽工業,10164154.0,490956.0,-631693.0,7617129.0,3757907.0,3215574.0,3385131.0,2021,0.54,0.0483026919899088,0.92,-0.1443178343689718,0.0527299325097168,-1.2866590896129184,0.9484922752172392,0.54
1560,中砂,1487769.0,147743.0,391997.0,2208928.0,517447.0,512863.0,508701.0,2021,0.98,0.0993050668484153,0.9,-0.0088588783005796,-0.0081152276533889,2.65323568629309,1.5606056110157338,1.13
2421,建準,3326557.0,74324.0,58009.0,2127067.0,1101756.0,1265784.0,1113603.0,2021,0.3,0.0223426203128339,0.93,0.1488786990948993,-0.1202266737452835,0.780488133039126,0.8476744681877035,0.35
4164,承業醫,442987.0,73776.0,35190.0,1450346.0,131802.0,145042.0,202122.0,2021,0.47,0.1665421332905931,1.09,0.1004537108693344,0.3935411811751079,0.4769843851659076,0.9220641171212524,0.43
6776,展碁國際,4629035.0,88610.0,398062.0,460033.0,2095504.0,2029479.0,2001956.0,2021,1.03,0.0191422186265603,0.0,-0.0315079331750262,-0.0135616086690228,4.492292066358199,0.5638944661405664,1.04
3605,宏致,2774620.0,179488.0,206718.0,3149459.0,930648.0,967608.0,906925.0,2021,1.47,0.0646892187038225,0.96,0.0397142636098717,-0.0627144463460409,1.151709306471742,2.573173611207565,1.06
2313,華通,12356977.0,615438.0,2503097.0,16153650.0,5358180.0,5812051.0,6382692.0,2021,0.52,0.0498048996935091,1.21,0.0847061875487571,0.0981823800238503,4.067179797152597,1.3553759684972722,1.31
6202,盛群,1670080.0,518135.0,872932.0,2645315.0,622585.0,715735.0,781287.0,2021,2.26,0.3102456169764322,1.27,0.1496181244328083,0.0915869700377933,1.6847578333831916,1.1696228735958458,3.17
2520,冠德,9437595.0,1576581.0,408932.0,10802396.0,2311124.0,996142.0,1238066.0,2021,2.76,0.1670532588016332,0.83,-0.5689794229993717,0.2428609575743217,0.2593789979709257,2.1442217109872943,0.68
