year,symbol,name,q2_eps,q2_rev,q2_margin,ly_q3_eps,target_eps,rev_m7,rev_m8,rev_m9,rev_yoy_m7
2021,6589,台康生技,-0.63,372415.0,-0.39660056657223797,-0.19,1.54,403866.0,173837.0,78908.0,4.729327148146572
2021,2727,王品,-2.78,3673251.0,-0.06403210670874383,3.64,-1.45,1038113.0,1412361.0,1296139.0,-0.25432398322914396
2021,2497,怡利電,-0.09,530331.0,-0.018267836502109062,-0.02,0.07,191381.0,180444.0,201207.0,0.5781266749676344
2021,2020,美亞,0.78,1669210.0,0.10404442820256289,0.75,0.87,617158.0,595807.0,656789.0,0.44326970073267535
2021,6625,必應,-1.6,84822.0,-0.8440381033222513,0.56,-0.92,5772.0,43987.0,38474.0,-0.9375223250527683
2021,2006,東和鋼鐵,1.37,14935680.0,0.10077351684021083,0.79,1.31,4932499.0,4606354.0,4669117.0,0.40298123261561547
2021,2450,神腦,0.42,6615724.0,0.016342126727173018,0.51,0.61,2367247.0,2384301.0,2616877.0,0.0912552874491539
2021,2528,皇普,0.18,464108.0,0.12393451524214191,-0.31,0.05,136494.0,24601.0,14997.0,6498.714285714285
2021,2434,統懋,-0.14,40624.0,-0.10400256006301693,-2.26,-0.33,13151.0,14297.0,10851.0,0.29019915628372406
2021,2013,中鋼構,0.44,3500605.0,0.02510137533369232,0.55,0.63,1492706.0,1404325.0,1308938.0,0.5392736456003473
2021,2402,毅嘉,0.17,1646829.0,0.02993814172570437,0.24,0.27,558712.0,545468.0,505797.0,0.3104661472137653
2021,2206,三陽工業,0.54,10164154.0,0.04830269198990885,0.92,0.54,3757907.0,3215574.0,3385131.0,-0.03514490772157364
2021,1560,中砂,0.98,1487769.0,0.09930506684841531,0.9,1.13,517447.0,512863.0,508701.0,0.17755207930345507
2021,2421,建準,0.3,3326557.0,0.02234262031283396,0.93,0.35,1101756.0,1265784.0,1113603.0,-0.09202269951492392
2021,4164,承業醫,0.47,442987.0,0.16654213329059317,1.09,0.43,131802.0,145042.0,202122.0,-0.5698887536426738
2021,3605,宏致,1.47,2774620.0,0.06468921870382251,0.96,1.06,930648.0,967608.0,906925.0,0.21171498433679403
2021,2313,華通,0.52,12356977.0,0.04980489969350918,1.21,1.31,5358180.0,5812051.0,6382692.0,0.05545399050832445
2021,6202,盛群,2.26,1670080.0,0.31024561697643227,1.27,3.17,622585.0,715735.0,781287.0,0.2767517308134002
2021,2520,冠德,2.76,9437595.0,0.16705325880163324,0.83,0.68,2311124.0,996142.0,1238066.0,0.41292571197303185
2021,1583,程泰,1.78,1757370.0,0.1337083255091415,0.09,-0.31,569259.0,561792.0,581312.0,0.17888295228628226
2021,8249,菱光,-0.09,1174668.0,-0.010696639390874698,0.72,1.23,423434.0,384333.0,298759.0,0.4527632535990229
2021,1504,東元,0.68,13486642.0,0.11706702083439302,0.42,0.75,4251967.0,4386806.0,4413724.0,0.07917259408252475
2021,4562,穎漢,-0.7,207874.0,-0.2285134264025323,-0.42,-0.36,78704.0,79112.0,79711.0,0.5218206779202197
2021,3257,虹冠電,1.38,335327.0,0.29779290066114567,1.02,1.49,127619.0,130984.0,120418.0,0.33193132599279873
2021,3035,智原,0.73,1687852.0,0.1142849017567891,0.25,1.31,646536.0,731378.0,839908.0,0.31773472307711126
2021,9927,泰銘,0.86,2413898.0,0.07404455366382506,0.94,1.08,791022.0,661035.0,639194.0,0.05787951207834774
2021,4967,十銓,1.7,1955111.0,0.0741804429518324,-1.09,-2.6,518791.0,538421.0,721279.0,-0.14655407828544542
2021,1529,樂事綠能,0.54,128198.0,0.408953337805582,0.41,0.39,14822.0,35320.0,56280.0,-0.7125235167478035
2021,2032,新鋼,0.47,876012.0,0.07118738099478089,0.24,0.44,314654.0,260502.0,293255.0,0.053175216807746395
2021,3058,立德,-0.87,1188126.0,-0.1149381462908816,-0.14,-0.34,418502.0,431714.0,454928.0,0.08572377347525939
2021,5283,禾聯碩,3.78,1829641.0,0.15093015515065525,4.88,3.18,677277.0,611845.0,420727.0,-0.1823979622632399
2021,3543,州巧,0.33,815522.0,0.03493958470770868,-4.98,0.27,301059.0,339867.0,318762.0,0.05196969802855489
2021,2201,裕隆,0.96,17911454.0,0.09468081150754148,1.04,1.14,6404891.0,6219970.0,6762173.0,-0.22368439233634374
2021,1726,永記,1.26,2174720.0,0.09372976751030018,1.39,1.36,717208.0,727220.0,733270.0,0.07128315048134004
2021,1907,永豐餘,1.02,22550442.0,0.1201859369319679,1.33,0.78,6959305.0,5862959.0,6964142.0,0.15753918520064758
2021,3036,文曄,2.53,102096389.0,0.019570574626297507,1.51,2.85,36346555.0,40457022.0,42301092.0,0.2957698320683555
2021,2028,威致,1.29,3225944.0,0.1304362381988032,0.61,1.51,1377514.0,1089613.0,1060973.0,0.8159400343805696
2021,6277,宏正,1.09,1220718.0,0.10888427957972276,1.37,1.21,393092.0,449460.0,427943.0,-0.003420029865049523
2021,1538,正峰,-0.5,71605.0,-0.18585294323022136,0.54,-0.67,20779.0,16692.0,23229.0,-0.1931112146629388
2021,6117,迎廣,-0.23,579592.0,-0.04162755869646234,-0.15,0.13,200415.0,184004.0,245178.0,-0.152980406741839
2021,3712,永崴投控,0.12,1710322.0,0.01727744834013712,-0.04,0.43,680704.0,732745.0,939978.0,0.9392834351353816
2021,2901,欣欣,-0.05,17767.0,-0.1960938819159115,0.06,-0.02,4808.0,6422.0,7680.0,-0.4436473038648461
2021,2308,台達電,2.93,78769884.0,0.10236751142098927,3.23,2.45,26377260.0,25923957.0,27344955.0,0.02307597907836656
2021,9934,成霖,0.22,4866317.0,0.01619068383748942,0.48,0.01,1659018.0,1554146.0,1672492.0,0.038402967334162375
2021,2739,寒舍,-2.33,414060.0,-0.627843790754963,-0.27,-2.18,71974.0,103652.0,144543.0,-0.7015062789270251
2021,1522,堤維西,-0.04,4177428.0,-0.00037223861189229356,0.28,0.02,1371797.0,1324818.0,1436901.0,0.03909373376175784
2021,1618,合機,0.23,753052.0,0.07221148074767746,0.63,0.2,153537.0,143424.0,170373.0,-0.6963523599700974
2021,2498,宏達電,-0.67,1349180.0,-0.4191130909144814,-1.7,-0.94,373804.0,366303.0,600857.0,0.3162622495941745
2021,5515,建國,0.39,1435637.0,0.07024129358605274,0.37,0.51,390107.0,377283.0,528469.0,-0.3915378328466971
2021,1305,華夏,0.87,4575908.0,0.12965383045288498,0.65,0.86,1830303.0,1751859.0,1963157.0,0.7129809357130155
2021,1233,天仁,-0.17,376516.0,-0.04061978773810409,0.27,0.22,128786.0,137571.0,163902.0,-0.21747742711662554
2021,1308,亞聚,1.59,2335675.0,0.3951114774101705,0.33,1.1,821270.0,788485.0,853180.0,0.9004764670626813
2021,6533,晶心科,1.41,207370.0,0.2898731735545161,-0.69,0.99,56370.0,89247.0,46610.0,0.8613174839029223
2021,1455,集盛,1.02,2743880.0,0.19768320772045425,0.05,-0.16,1007763.0,987059.0,995373.0,0.925920617356855
2021,2368,金像電,1.34,6377010.0,0.1137733828236117,1.06,1.46,2318359.0,2444041.0,2305843.0,0.0796613610940613
2021,2380,虹光,0.2,901825.0,0.039206054389709755,-0.46,-0.29,260198.0,205634.0,180988.0,0.5785935727329536
2021,2405,輔信,0.0,438640.0,0.007625843516323181,0.02,0.05,153578.0,141691.0,192446.0,0.21182328201810097
2021,1709,和益,0.59,2464805.0,0.1136775525852958,0.38,0.59,619917.0,785104.0,813711.0,-0.08515944706717449
2021,1301,台塑,3.18,71652909.0,0.28234305183617875,1.63,3.03,22344061.0,23158607.0,21433730.0,0.4217141815093417
2021,2417,圓剛,0.22,1282959.0,0.10450139092519714,4.0,-0.29,405952.0,386044.0,345670.0,-0.5018138085069828
2021,1307,三芳,0.14,1994103.0,0.027483033724937978,0.25,-0.41,621285.0,513232.0,550855.0,0.1761949656958517
2021,2374,佳能,2.8,700088.0,1.1425349384648786,-0.33,0.09,297492.0,414252.0,343103.0,0.018135273603405944
2021,3014,聯陽,2.88,1830625.0,0.25399685899624447,2.06,3.46,705951.0,704560.0,710051.0,0.5299399251014252
2021,2460,建通,0.55,1267006.0,0.07098545705387346,0.07,0.39,387464.0,350556.0,310820.0,0.25135724320570985
2021,6024,群益期,0.6,652498.0,0.19425040383265543,0.82,0.51,238238.0,191696.0,177120.0,-0.024262579762616587
2021,8464,億豐,4.18,7424593.0,0.17462142369285427,5.04,4.7,2396907.0,2479778.0,2632539.0,0.03884890901462845
2021,2484,希華,0.58,824177.0,0.1114093210560353,0.37,0.78,298938.0,309109.0,282653.0,0.28072558083739985
2021,2404,漢唐,2.92,5990549.0,0.09400357129204685,6.76,3.5,2113393.0,2140297.0,2019948.0,-0.43796939643606425
2021,2390,云辰,-0.45,163468.0,-0.5889348373993687,-0.38,0.52,41789.0,47080.0,51994.0,0.0009341317365270108
2021,2330,台積電,5.18,372145122.0,0.36136901453191694,5.3,6.02,124557799.0,137427162.0,152685418.0,0.17547869422318274
2021,1808,潤隆,0.81,2139083.0,0.14017268147145295,0.37,0.68,1129769.0,374877.0,395448.0,0.85958879870691
2021,1436,華友聯,3.61,1421457.0,0.2425933390879921,1.8,0.91,374053.0,119757.0,88834.0,-0.05303757186654279
2021,2369,菱生,0.51,1994342.0,0.10145802475202348,-0.01,0.79,699171.0,713962.0,647968.0,0.5680663674837008
2021,2615,萬海,8.57,48016871.0,0.39557740028499566,0.81,13.18,20300252.0,24663059.0,25764019.0,2.3407622405736954
2021,1440,南紡,0.61,5310445.0,0.19244187633993007,0.19,0.27,1721379.0,1414727.0,1233678.0,0.2764798270124045
2021,3596,智易,1.85,9548362.0,0.03986118247297285,2.8,2.35,3020532.0,3101338.0,3359418.0,-0.05435380849842175
2021,4536,拓凱,1.99,1822619.0,0.10392407848266698,2.39,1.81,659131.0,809690.0,880195.0,-0.06305029524397077
2021,6216,居易,0.4,214328.0,0.16281587100145573,0.35,0.4,79014.0,66900.0,91085.0,0.4146524868406918
2021,1735,日勝化,0.11,870429.0,0.012740843882729091,0.34,-0.03,303074.0,244920.0,229668.0,0.5920929597293578
2021,4919,新唐,2.37,10614689.0,0.08848050093601423,0.41,1.56,3491742.0,3252233.0,3636179.0,2.1821911715921973
2021,1445,大宇,0.01,291422.0,0.002254462600627269,-0.1,-0.08,107528.0,102038.0,114512.0,0.6055185594409771
2021,2504,國產,0.65,5484857.0,0.14470951567196738,0.56,0.65,1710816.0,1710963.0,1854854.0,0.1159899882779094
2021,1515,力山,1.29,4985046.0,0.047400966811539956,1.39,1.37,1249931.0,1641095.0,1365823.0,0.1532250103104007
2021,5533,皇鼎,0.69,922412.0,0.21291895595460597,0.14,0.38,42785.0,738145.0,229305.0,-0.8391952433212562
2021,2415,錩新,1.11,743384.0,0.14876564467354692,0.13,0.33,222864.0,80630.0,110357.0,0.5381175203942192
