year,symbol,name,q2_rev,q2_ni,q2_margin,q2_eps,capital,q2_retained_earnings,q2_ocf,rev_m7,rev_m8,rev_m9,ly_q3_eps,target_eps,q2_ocf_ratio,q2_re_ratio,rev_trend_m8_m7,rev_trend_m9_m8
2021,2536,宏普,53262.0,-46715.0,-0.8770793436220945,-0.14,3328087.0,6402671.0,-1298352.0,14679.0,14277.0,22220.0,0.4,-0.08,5.0,1.9238292148011755,-0.027386061720825694,0.5563493731176017
2021,3607,谷崧,954016.0,-116723.0,-0.12234910106329454,-0.91,1216622.0,-522349.0,76204.0,270560.0,284646.0,360255.0,-0.67,0.12,-0.6528619038235823,-0.4293437074128201,0.052062389118864516,0.2656246706435361
2021,2495,普安,311235.0,3233.0,0.010387649203977702,0.02,2735515.0,1171849.0,81052.0,78501.0,100707.0,98023.0,0.03,0.09,5.0,0.428383320873766,0.2828753773837276,-0.02665157337623003
2021,3653,健策,2169327.0,263975.0,0.12168520467407634,2.13,1222194.0,1791963.0,22209.0,783509.0,765410.0,773555.0,1.58,3.21,0.0841329671370395,1.4661854010083506,-0.023099926101678436,0.01064135561333135
2021,6756,威鋒電子,802820.0,207666.0,0.2586706858324406,3.08,675000.0,488485.0,81616.0,282310.0,304339.0,306475.0,,3.56,0.39301570791559526,0.7236814814814815,0.07803124225142577,0.0070184892504738805
2021,2431,聯昌,385331.0,-25020.0,-0.06493118902969136,-0.22,1109270.0,352063.0,-22660.0,103085.0,113768.0,104581.0,0.33,-0.19,0.9056754596322941,0.3173826029731265,0.10363292428578363,-0.08075205681738273
2021,2496,卓越,152502.0,8672.0,0.05686482800225571,0.47,191854.0,278653.0,105960.0,54171.0,62106.0,58082.0,1.65,1.23,5.0,1.4524221543465343,0.14648058924516816,-0.06479245161498082
2021,1603,華電,463147.0,49952.0,0.10785344609810708,0.31,1916880.0,5472782.0,127502.0,143362.0,174638.0,359057.0,1.55,0.64,2.552490390775144,2.8550467426234296,0.21816101895899886,1.0560072836381544
2021,6177,達麗,2641863.0,382504.0,0.14478570614751787,0.99,3803045.0,1324901.0,-1457096.0,526688.0,377233.0,2149093.0,0.0,0.93,-3.809361470729718,0.3483789963042772,-0.2837638222249226,4.696990984351846
2021,3617,碩天,2113437.0,38289.0,0.018116934642480473,0.42,809510.0,2076876.0,69975.0,813590.0,822709.0,635588.0,2.9,0.62,1.8275483820418397,2.5655964719398154,0.011208348185203887,-0.22744494104233692
2021,2731,雄獅,380628.0,-71476.0,-0.18778439841525058,-0.88,730152.0,-87442.0,-296344.0,60534.0,101612.0,83375.0,-2.43,-2.19,4.146063014158599,-0.11975862560124467,0.6785938480853735,-0.17947683344486876
2021,4440,宜新實業,455608.0,85432.0,0.18751207178100474,0.99,600480.0,393310.0,138597.0,168271.0,170421.0,165227.0,,3.99,1.6223078003558387,0.6549926725286438,0.012777008516024813,-0.030477464631706197
2021,6235,華孚,662700.0,30848.0,0.0465489663497812,0.18,1708997.0,671284.0,149455.0,224291.0,208783.0,225809.0,0.06,0.1,4.844884595435684,0.39279413597566293,-0.0691423195759081,0.0815487851022354
2021,3311,閎暉,406684.0,13652.0,0.03356906099084302,0.2,680000.0,1360938.0,56934.0,142058.0,152255.0,158786.0,0.22,0.2,4.1703779665983,2.001379411764706,0.071780540342677,0.04289514301664976
