year,symbol,name,q2_rev,q2_margin,q2_eps,capital,rev_m7,rev_m8,rev_m9,ly_rev_m7,ly_rev_m8,ly_rev_m9,ly_q3_eps,target_eps,rev_yoy_m7,rev_yoy_m8,rev_yoy_m9,rel_momentum_m8
2021,1402,遠東新,58493983.0,0.07790572237147879,0.71,53528751.0,19058851.0,19327770.0,20059024.0,15997860.0,16731731.0,16832713.0,0.6,0.45,0.19133752889448963,0.15515663023748116,0.19166910289505923,0.9696300185468153
2021,1806,冠軍,824089.0,-0.01951852287799012,-0.04,4337821.0,304242.0,304326.0,291124.0,299541.0,328988.0,264681.0,0.05,2.62,0.015694011838112365,-0.07496322054299853,0.09990516886365097,0.9107435592565448
2021,1702,南僑,4926650.0,0.05587123095815615,1.04,2941330.0,1492597.0,1662626.0,1757618.0,1404101.0,1626214.0,1768470.0,1.35,1.03,0.06302680505177327,0.022390657072193454,-0.006136377772877122,0.9617731671614802
2021,6446,藥華藥,86762.0,-6.231737396556096,-2.08,2635393.0,33618.0,30766.0,27678.0,46636.0,39194.0,47828.0,-2.53,-2.7,-0.27914057809417614,-0.21503291320100015,-0.42130132976499124,1.0889322702111415
2021,2373,震旦行,3395111.0,0.10859055860029318,1.49,2362025.0,1167614.0,1078680.0,1129244.0,1174130.0,1190244.0,1231402.0,2.21,1.78,-0.005549641010790918,-0.09373204149737369,-0.08296072281838096,0.9113254878039221
2021,6226,光鼎,238000.0,0.05480252100840336,0.15,1149518.0,79770.0,71152.0,116441.0,69398.0,66335.0,70970.0,-0.06,0.08,0.14945675667886693,0.07261626592296677,0.640707341130055,0.933150603265915
2021,3437,榮創,992209.0,0.03256874307731537,0.22,1445480.0,301957.0,300291.0,315526.0,498990.0,495241.0,487424.0,0.39,-0.1,-0.39486362452153345,-0.3936467295720669,-0.35266626181722693,1.0020109433158837
2021,8422,可寧衛*,593990.0,0.44399905722318556,2.43,1088880.0,222122.0,263766.0,276644.0,250677.0,238758.0,222162.0,3.01,2.58,-0.11391152758330436,0.10474204005729648,0.24523545880933728,1.2467626816589212
2021,6142,友勁,624547.0,-0.2698275710234778,-0.51,3307792.0,211041.0,171532.0,152567.0,360803.0,383603.0,396168.0,-0.31,-0.65,-0.4150796972308989,-0.5528397848817658,-0.6148931766321359,0.7644805847930225
2021,1722,台肥,2610836.0,0.2912178321426547,0.78,9800000.0,901496.0,996228.0,1171517.0,919353.0,817293.0,830979.0,0.51,0.8,-0.019423442355656628,0.21893617099375628,0.4098033764992859,1.243081084787534
2021,2014,中鴻,13397363.0,0.17024439809535652,1.59,14355444.0,5201624.0,5341704.0,5091940.0,2610889.0,3217111.0,3415540.0,0.17,1.02,0.9922807901829607,0.6604040084411138,0.49081550794310713,0.8334186710140546
2021,8473,山林水,867754.0,0.0009691686814465851,-0.21,1348123.0,268317.0,239911.0,305603.0,324408.0,377297.0,313456.0,0.19,0.35,-0.17290264111859144,-0.36413223534774997,-0.025052957990914226,0.7687943357868013
2021,3704,合勤控,6084387.0,0.060349875837943906,0.83,4485238.0,1881295.0,2175800.0,2267408.0,1731667.0,2087851.0,2201533.0,0.88,0.98,0.08640691310742765,0.04212417456992856,0.029922331393624324,0.9592392702925296
2021,1708,東鹼,1147618.0,0.11363275933280935,0.57,2284419.0,390366.0,403997.0,426915.0,329276.0,335463.0,332745.0,0.24,0.52,0.18552824985726257,0.20429674807653897,0.28300951178830647,1.0158313378205337
2021,6589,台康生技,372415.0,-0.39660056657223797,-0.63,2436287.0,403866.0,173837.0,78908.0,70491.0,54220.0,267786.0,-0.19,1.54,4.729327148146572,2.2061416451493914,-0.7053318694778666,0.5596017756093005
2021,2727,王品,3673251.0,-0.06403210670874383,-2.78,769879.0,1038113.0,1412361.0,1296139.0,1392177.0,1741617.0,1321266.0,3.64,-1.45,-0.25432398322914396,-0.18905189832207658,-0.01901736667711118,1.087534107895447
2021,2497,怡利電,530331.0,-0.018267836502109062,-0.09,1187985.0,191381.0,180444.0,201207.0,121271.0,134078.0,157519.0,-0.02,0.07,0.5781266749676344,0.34581363087158223,0.27735066880820725,0.8527918906758123
2021,2020,美亞,1669210.0,0.10404442820256289,0.78,2225261.0,617158.0,595807.0,656789.0,427611.0,476535.0,422015.0,0.75,0.87,0.44326970073267535,0.25029011510172383,0.5563167186000497,0.8662900041946524
2021,6625,必應,84822.0,-0.8440381033222513,-1.6,448734.0,5772.0,43987.0,38474.0,92385.0,86326.0,104872.0,0.56,-0.92,-0.9375223250527683,-0.49045478766536155,-0.6331337249218094,8.155636597632636
2021,2006,東和鋼鐵,14935680.0,0.10077351684021083,1.37,10898714.0,4932499.0,4606354.0,4669117.0,3515727.0,3196799.0,3690315.0,0.79,1.31,0.40298123261561547,0.44092700229198023,0.26523535253765607,1.0270465269201223
2021,2450,神腦,6615724.0,0.016342126727173018,0.42,2582527.0,2367247.0,2384301.0,2616877.0,2169288.0,2328268.0,2254093.0,0.51,0.61,0.0912552874491539,0.02406638754645085,0.16094455730087454,0.9384297142241029
2021,2528,皇普,464108.0,0.12393451524214191,0.18,3299974.0,136494.0,24601.0,14997.0,21.0,21.0,21.0,-0.31,0.05,6498.714285714285,1170.4761904761904,713.1428571428571,0.18023502864594781
2021,2434,統懋,40624.0,-0.10400256006301693,-0.14,370000.0,13151.0,14297.0,10851.0,10193.0,11086.0,11126.0,-2.26,-0.33,0.29019915628372406,0.28964459678874266,-0.024716879381628587,0.9995701752769869
2021,2013,中鋼構,3500605.0,0.02510137533369232,0.44,2000000.0,1492706.0,1404325.0,1308938.0,969747.0,972322.0,1050965.0,0.55,0.63,0.5392736456003473,0.4443003449474556,0.24546297926191651,0.9382999241724493
2021,2402,毅嘉,1646829.0,0.02993814172570437,0.17,3075366.0,558712.0,545468.0,505797.0,426346.0,480357.0,637721.0,0.24,0.27,0.3104661472137653,0.13554710350843235,-0.20686789364000868,0.8665215091002271
2021,2206,三陽工業,10164154.0,0.04830269198990885,0.54,8030776.0,3757907.0,3215574.0,3385131.0,3894789.0,3734142.0,3829444.0,0.92,0.54,-0.03514490772157364,-0.13887206217653214,-0.11602545957063215,0.8924945773877658
2021,1560,中砂,1487769.0,0.09930506684841531,0.98,1415430.0,517447.0,512863.0,508701.0,439426.0,432477.0,420571.0,0.9,1.13,0.17755207930345507,0.18587346841566132,0.20954844723007526,1.0070666845725658
