year,symbol,name,q2_rev,q2_margin,q2_eps,capital,rev_m7,rev_m8,rev_m9,ly_q3_eps,target_eps,est_q3_rev_t1,est_q3_rev_t2,est_q3_rev_t3
2021,2206,三陽工業,10164154.0,0.04830269198990885,0.54,8030776.0,3757907.0,3215574.0,3385131.0,0.92,0.54,11273721.0,10460221.5,10358612.0
2021,1560,中砂,1487769.0,0.09930506684841531,0.98,1415430.0,517447.0,512863.0,508701.0,0.9,1.13,1552341.0,1545465.0,1539011.0
2021,2421,建準,3326557.0,0.02234262031283396,0.3,2509297.0,1101756.0,1265784.0,1113603.0,0.93,0.35,3305268.0,3551310.0,3481143.0
2021,4164,承業醫,442987.0,0.16654213329059317,0.47,1572934.0,131802.0,145042.0,202122.0,1.09,0.43,395406.0,415266.0,478966.0
2021,3605,宏致,2774620.0,0.06468921870382251,1.47,1223959.0,930648.0,967608.0,906925.0,0.96,1.06,2791944.0,2847384.0,2805181.0
2021,2313,華通,12356977.0,0.04980489969350918,0.52,11918206.0,5358180.0,5812051.0,6382692.0,1.21,1.31,16074540.0,16755346.5,17552923.0
2021,6202,盛群,1670080.0,0.31024561697643227,2.26,2261682.0,622585.0,715735.0,781287.0,1.27,3.17,1867755.0,2007480.0,2119607.0
2021,2520,冠德,9437595.0,0.16705325880163324,2.76,5037910.0,2311124.0,996142.0,1238066.0,0.83,0.68,6933372.0,4960899.0,4545332.0
2021,1583,程泰,1757370.0,0.1337083255091415,1.78,1104004.0,569259.0,561792.0,581312.0,0.09,-0.31,1707777.0,1696576.5,1712363.0
2021,8249,菱光,1174668.0,-0.010696639390874698,-0.09,1270550.0,423434.0,384333.0,298759.0,0.72,1.23,1270302.0,1211650.5,1106526.0
2021,1504,東元,13486642.0,0.11706702083439302,0.68,21387966.0,4251967.0,4386806.0,4413724.0,0.42,0.75,12755901.0,12958159.5,13052497.0
2021,4562,穎漢,207874.0,-0.2285134264025323,-0.7,675460.0,78704.0,79112.0,79711.0,-0.42,-0.36,236112.0,236724.0,237527.0
2021,3257,虹冠電,335327.0,0.29779290066114567,1.38,727390.0,127619.0,130984.0,120418.0,1.02,1.49,382857.0,387904.5,379021.0
2021,3035,智原,1687852.0,0.1142849017567891,0.73,2485503.0,646536.0,731378.0,839908.0,0.25,1.31,1939608.0,2066871.0,2217822.0
2021,9927,泰銘,2413898.0,0.07404455366382506,0.86,2091482.0,791022.0,661035.0,639194.0,0.94,1.08,2373066.0,2178085.5,2091251.0
2021,4967,十銓,1955111.0,0.0741804429518324,1.7,913697.0,518791.0,538421.0,721279.0,-1.09,-2.6,1556373.0,1585818.0,1778491.0
2021,1529,樂事綠能,128198.0,0.408953337805582,0.54,959680.0,14822.0,35320.0,56280.0,0.41,0.39,44466.0,75213.0,106422.0
2021,2032,新鋼,876012.0,0.07118738099478089,0.47,1305215.0,314654.0,260502.0,293255.0,0.24,0.44,943962.0,862734.0,868411.0
2021,3058,立德,1188126.0,-0.1149381462908816,-0.87,1619374.0,418502.0,431714.0,454928.0,-0.14,-0.34,1255506.0,1275324.0,1305144.0
2021,5283,禾聯碩,1829641.0,0.15093015515065525,3.78,730004.0,677277.0,611845.0,420727.0,4.88,3.18,2031831.0,1933683.0,1709849.0
2021,3543,州巧,815522.0,0.03493958470770868,0.33,892631.0,301059.0,339867.0,318762.0,-4.98,0.27,903177.0,961389.0,959688.0
2021,2201,裕隆,17911454.0,0.09468081150754148,0.96,10000000.0,6404891.0,6219970.0,6762173.0,1.04,1.14,19214673.0,18937291.5,19387034.0
2021,1726,永記,2174720.0,0.09372976751030018,1.26,1620000.0,717208.0,727220.0,733270.0,1.39,1.36,2151624.0,2166642.0,2177698.0
2021,1907,永豐餘,22550442.0,0.1201859369319679,1.02,16603715.0,6959305.0,5862959.0,6964142.0,1.33,0.78,20877915.0,19233396.0,19786406.0
2021,3036,文曄,102096389.0,0.019570574626297507,2.53,9266280.0,36346555.0,40457022.0,42301092.0,1.51,2.85,109039665.0,115205365.5,119104669.0
2021,2028,威致,3225944.0,0.1304362381988032,1.29,3257148.0,1377514.0,1089613.0,1060973.0,0.61,1.51,4132542.0,3700690.5,3528100.0
2021,6277,宏正,1220718.0,0.10888427957972276,1.09,1194711.0,393092.0,449460.0,427943.0,1.37,1.21,1179276.0,1263828.0,1270495.0
2021,1538,正峰,71605.0,-0.18585294323022136,-0.5,264105.0,20779.0,16692.0,23229.0,0.54,-0.67,62337.0,56206.5,60700.0
2021,6117,迎廣,579592.0,-0.04162755869646234,-0.23,886500.0,200415.0,184004.0,245178.0,-0.15,0.13,601245.0,576628.5,629597.0
2021,3712,永崴投控,1710322.0,0.01727744834013712,0.12,2462421.0,680704.0,732745.0,939978.0,-0.04,0.43,2042112.0,2120173.5,2353427.0
2021,2901,欣欣,17767.0,-0.1960938819159115,-0.05,730433.0,4808.0,6422.0,7680.0,0.06,-0.02,14424.0,16845.0,18910.0
2021,2308,台達電,78769884.0,0.10236751142098927,2.93,25975433.0,26377260.0,25923957.0,27344955.0,3.23,2.45,79131780.0,78451825.5,79646172.0
2021,9934,成霖,4866317.0,0.01619068383748942,0.22,3581640.0,1659018.0,1554146.0,1672492.0,0.48,0.01,4977054.0,4819746.0,4885656.0
2021,2739,寒舍,414060.0,-0.627843790754963,-2.33,1115260.0,71974.0,103652.0,144543.0,-0.27,-2.18,215922.0,263439.0,320169.0
2021,1522,堤維西,4177428.0,-0.00037223861189229356,-0.04,3128979.0,1371797.0,1324818.0,1436901.0,0.28,0.02,4115391.0,4044922.5,4133516.0
2021,1618,合機,753052.0,0.07221148074767746,0.23,2408647.0,153537.0,143424.0,170373.0,0.63,0.2,460611.0,445441.5,467334.0
2021,2498,宏達電,1349180.0,-0.4191130909144814,-0.67,8189294.0,373804.0,366303.0,600857.0,-1.7,-0.94,1121412.0,1110160.5,1340964.0
2021,5515,建國,1435637.0,0.07024129358605274,0.39,2574401.0,390107.0,377283.0,528469.0,0.37,0.51,1170321.0,1151085.0,1295859.0
2021,1305,華夏,4575908.0,0.12965383045288498,0.87,5810505.0,1830303.0,1751859.0,1963157.0,0.65,0.86,5490909.0,5373243.0,5545319.0
2021,1233,天仁,376516.0,-0.04061978773810409,-0.17,905919.0,128786.0,137571.0,163902.0,0.27,0.22,386358.0,399535.5,430259.0
2021,1308,亞聚,2335675.0,0.3951114774101705,1.59,5821018.0,821270.0,788485.0,853180.0,0.33,1.1,2463810.0,2414632.5,2462935.0
2021,6533,晶心科,207370.0,0.2898731735545161,1.41,426509.0,56370.0,89247.0,46610.0,-0.69,0.99,169110.0,218425.5,192227.0
2021,1455,集盛,2743880.0,0.19768320772045425,1.02,5316884.0,1007763.0,987059.0,995373.0,0.05,-0.16,3023289.0,2992233.0,2990195.0
2021,2368,金像電,6377010.0,0.1137733828236117,1.34,5464879.0,2318359.0,2444041.0,2305843.0,1.06,1.46,6955077.0,7143600.0,7068243.0
2021,2380,虹光,901825.0,0.039206054389709755,0.2,1794441.0,260198.0,205634.0,180988.0,-0.46,-0.29,780594.0,698748.0,646820.0
2021,2405,輔信,438640.0,0.007625843516323181,0.0,3434273.0,153578.0,141691.0,192446.0,0.02,0.05,460734.0,442903.5,487715.0
2021,1709,和益,2464805.0,0.1136775525852958,0.59,4770163.0,619917.0,785104.0,813711.0,0.38,0.59,1859751.0,2107531.5,2218732.0
2021,1301,台塑,71652909.0,0.28234305183617875,3.18,63657408.0,22344061.0,23158607.0,21433730.0,1.63,3.03,67032183.0,68254002.0,66936398.0
2021,2417,圓剛,1282959.0,0.10450139092519714,0.22,1928923.0,405952.0,386044.0,345670.0,4.0,-0.29,1217856.0,1187994.0,1137666.0
2021,1307,三芳,1994103.0,0.027483033724937978,0.14,3978181.0,621285.0,513232.0,550855.0,0.25,-0.41,1863855.0,1701775.5,1685372.0
2021,2374,佳能,700088.0,1.1425349384648786,2.8,2823628.0,297492.0,414252.0,343103.0,-0.33,0.09,892476.0,1067616.0,1054847.0
2021,3014,聯陽,1830625.0,0.25399685899624447,2.88,1610801.0,705951.0,704560.0,710051.0,2.06,3.46,2117853.0,2115766.5,2120562.0
2021,2460,建通,1267006.0,0.07098545705387346,0.55,1692000.0,387464.0,350556.0,310820.0,0.07,0.39,1162392.0,1107030.0,1048840.0
2021,6024,群益期,652498.0,0.19425040383265543,0.6,2104376.0,238238.0,191696.0,177120.0,0.82,0.51,714714.0,644901.0,607054.0
2021,8464,億豐,7424593.0,0.17462142369285427,4.18,2930202.0,2396907.0,2479778.0,2632539.0,5.04,4.7,7190721.0,7315027.5,7509224.0
2021,2484,希華,824177.0,0.1114093210560353,0.58,1594210.0,298938.0,309109.0,282653.0,0.37,0.78,896814.0,912070.5,890700.0
2021,2404,漢唐,5990549.0,0.09400357129204685,2.92,1905867.0,2113393.0,2140297.0,2019948.0,6.76,3.5,6340179.0,6380535.0,6273638.0
2021,2390,云辰,163468.0,-0.5889348373993687,-0.45,2140216.0,41789.0,47080.0,51994.0,-0.38,0.52,125367.0,133303.5,140863.0
2021,2330,台積電,372145122.0,0.36136901453191694,5.18,259303805.0,124557799.0,137427162.0,152685418.0,5.3,6.02,373673397.0,392977441.5,414670379.0
2021,1808,潤隆,2139083.0,0.14017268147145295,0.81,3699966.0,1129769.0,374877.0,395448.0,0.37,0.68,3389307.0,2256969.0,1900094.0
2021,1436,華友聯,1421457.0,0.2425933390879921,3.61,956340.0,374053.0,119757.0,88834.0,1.8,0.91,1122159.0,740715.0,582644.0
2021,2369,菱生,1994342.0,0.10145802475202348,0.51,3801023.0,699171.0,713962.0,647968.0,-0.01,0.79,2097513.0,2119699.5,2061101.0
2021,2615,萬海,48016871.0,0.39557740028499566,8.57,24401273.0,20300252.0,24663059.0,25764019.0,0.81,13.18,60900756.0,67444966.5,70727330.0
2021,1440,南紡,5310445.0,0.19244187633993007,0.61,16568159.0,1721379.0,1414727.0,1233678.0,0.19,0.27,5164137.0,4704159.0,4369784.0
2021,3596,智易,9548362.0,0.03986118247297285,1.85,2084245.0,3020532.0,3101338.0,3359418.0,2.8,2.35,9061596.0,9182805.0,9481288.0
2021,4536,拓凱,1822619.0,0.10392407848266698,1.99,908200.0,659131.0,809690.0,880195.0,2.39,1.81,1977393.0,2203231.5,2349016.0
2021,6216,居易,214328.0,0.16281587100145573,0.4,870856.0,79014.0,66900.0,91085.0,0.35,0.4,237042.0,218871.0,236999.0
2021,1735,日勝化,870429.0,0.012740843882729091,0.11,993880.0,303074.0,244920.0,229668.0,0.34,-0.03,909222.0,821991.0,777662.0
2021,4919,新唐,10614689.0,0.08848050093601423,2.37,4100428.0,3491742.0,3252233.0,3636179.0,0.41,1.56,10475226.0,10115962.5,10380154.0
2021,1445,大宇,291422.0,0.002254462600627269,0.01,1306660.0,107528.0,102038.0,114512.0,-0.1,-0.08,322584.0,314349.0,324078.0
2021,2504,國產,5484857.0,0.14470951567196738,0.65,11800000.0,1710816.0,1710963.0,1854854.0,0.56,0.65,5132448.0,5132668.5,5276633.0
2021,1515,力山,4985046.0,0.047400966811539956,1.29,1814735.0,1249931.0,1641095.0,1365823.0,1.39,1.37,3749793.0,4336539.0,4256849.0
2021,5533,皇鼎,922412.0,0.21291895595460597,0.69,2852450.0,42785.0,738145.0,229305.0,0.14,0.38,128355.0,1171395.0,1010235.0
2021,2415,錩新,743384.0,0.14876564467354692,1.11,800000.0,222864.0,80630.0,110357.0,0.13,0.33,668592.0,455241.0,413851.0
2021,2009,第一銅,802297.0,0.1003892573448486,0.22,3596222.0,276739.0,275002.0,292401.0,0.43,0.56,830217.0,827611.5,844142.0
2021,2449,京元電子,7597326.0,0.11386901128107442,0.7,12227451.0,2957152.0,3044565.0,2995305.0,0.79,1.25,8871456.0,9002575.5,8997022.0
2021,6005,群益證,3460917.0,0.3802159947782625,0.58,21709081.0,1464586.0,1054617.0,820492.0,0.71,0.59,4393758.0,3778804.5,3339695.0
2021,1220,台榮,789944.0,0.07826250974752641,0.32,1770779.0,258235.0,265446.0,267658.0,0.31,0.16,774705.0,785521.5,791339.0
2021,5234,達興材料,1091047.0,0.147550930436544,1.56,1027159.0,392543.0,398002.0,389544.0,1.53,1.85,1177629.0,1185817.5,1180089.0
2021,3051,力特,915633.0,0.11353020260300797,0.32,3253324.0,317833.0,262526.0,207168.0,0.04,0.27,953499.0,870538.5,787527.0
2021,6183,關貿,485014.0,0.1985509696627314,0.65,1500000.0,146138.0,171008.0,188934.0,0.88,0.61,438414.0,475719.0,506080.0
2021,4532,瑞智,6281919.0,0.03141428598490366,0.41,5049151.0,1996792.0,1540420.0,1633481.0,0.43,0.37,5990376.0,5305818.0,5170693.0
2021,6112,邁達特,2748667.0,0.033064390848363955,0.48,1883573.0,1076531.0,1013534.0,1074780.0,0.73,0.71,3229593.0,3135097.5,3164845.0
