year,symbol,name,q2_rev,q2_margin,q2_eps,capital,ly_q2_eps,ly_q3_eps,ly_q2_margin,ly_q3_margin,rev_m7,rev_m8,rev_m9,q3_rev_total,target_eps,margin_seasonality_ratio,eps_seasonality_ratio,rev_trend_m8_m7,rev_trend_m9_m8,pred_eps_seasonal
2023,1419,新紡,683000.0,0.24550219619326502,0.56,3000413.0,0.94,0.88,0.39522953417754864,0.283143211108072,216163.0,266298.0,334093.0,816554.0,0.97,0.7164019553783544,0.9361702127659575,0.2319314591303785,0.2545832112896078,0.47864774392343307
2023,8271,宇瞻,1646683.0,0.0717861300566047,0.96,1226882.0,1.44,1.15,0.06938983179197865,0.05580908113481672,525169.0,653448.0,746884.0,1925501.0,1.14,0.8042832745599501,0.798611111111111,0.2442623231759682,0.14298918965242824,0.9061300487482923
2023,3014,聯陽,1711064.0,0.2556473632780539,2.72,1610801.0,1.83,1.94,0.2150192133667327,0.2874589000252923,547254.0,596809.0,650290.0,1794353.0,2.93,1.3368986683762434,1.0601092896174862,0.09055210194900365,0.08961158427570637,3.8072009757632763
2023,8940,新天地,316561.0,0.015463054513979928,0.07,674910.0,-0.76,-0.38,-0.46587683684834547,-0.1449532694273007,119031.0,78652.0,90832.0,288515.0,-0.1,0.3111407521522402,0.5,-0.3392309566415471,0.15485938056247783,0.020567178552293473
2023,1323,永裕,846863.0,0.02381140751219501,0.22,912745.0,0.21,0.55,0.021301975872638955,0.05147680899771076,261881.0,316094.0,278061.0,856036.0,0.19,2.416527429449842,2.6190476190476195,0.20701387271317895,-0.12032180300796602,0.5396589241068783
2023,5007,三星,1608811.0,0.1517630100738993,0.82,2949401.0,1.01,0.91,0.15680896171964936,0.15556874377232005,556362.0,561835.0,572902.0,1691099.0,0.95,0.9920908987998618,0.900990099009901,0.009837120435975066,0.019697954025648112,0.8632818433801476
2023,2010,春源,5372598.0,0.036804168113825,0.31,6476554.0,0.36,0.12,0.0348326184780015,0.013100708828505699,2039040.0,1822688.0,1777136.0,5638864.0,0.32,0.376104622647862,0.3333333333333333,-0.10610483364720658,-0.02499166066819991,0.12051838587128484
2023,2489,瑞軒,3836232.0,-0.0672096995176517,-0.32,7980000.0,-0.5,1.5,-0.08391253924047704,0.26596647622440867,1373153.0,1764908.0,1820844.0,4958905.0,0.07,-3.169567726489606,-3.0,0.28529595755170756,0.031693436711715206,1.3237771698943113
2023,4989,榮科,927992.0,-0.041668462659160854,-0.29,1377765.0,0.5,0.03,0.06452256201379025,0.004995149848875361,260372.0,285105.0,349888.0,895365.0,-0.13,0.0774171033042327,0.06,0.0949910128585254,0.22722505743498012,-0.02096376876944196
2023,3018,隆銘綠能,334032.0,-0.16023913876514825,-0.68,781471.0,0.02,,0.00485203366421651,,42658.0,44546.0,21083.0,108287.0,-0.44,1.0,1.0,0.04425899010736556,-0.5267139586045886,-0.22204042913251557
2023,1712,興農,4576336.0,0.06112619353124421,0.67,4204926.0,0.98,1.26,0.06760407561973467,0.09054077858023604,1449359.0,1585242.0,1860207.0,4894808.0,0.59,1.3392798843891862,1.2857142857142858,0.09375385946477022,0.1734530122214779,0.95296291869382
2023,1786,科妍,183266.0,0.27933168181768575,0.76,672723.0,0.6,0.68,0.29994705392935483,0.27618054250074286,68910.0,80500.0,56688.0,206098.0,0.82,0.9207643111766999,1.1333333333333335,0.16819039326657959,-0.2958012422360249,0.7879636350831312
2023,3501,維熹,1371068.0,0.1048022417560617,1.22,1182579.0,1.54,2.82,0.11754120061913605,0.1967534847218998,410526.0,496818.0,449367.0,1356711.0,1.4,1.6739107962614068,1.831168831168831,0.21019862322971017,-0.09550982452326606,2.0126120403095125
2023,2327,國巨,26756512.0,0.13939585996859383,8.92,4221072.0,11.06,12.09,0.1892375886462555,0.2077380527534255,8888464.0,9009640.0,9460962.0,27359066.0,11.61,1.0977631570953548,1.093128390596745,0.013632951655089043,0.05009323346992778,9.918295276310975
2023,2022,聚亨,2222077.0,-0.012675528345777396,-0.06,3371682.0,,-0.17,-0.013508590055213612,-0.03521594978313232,729342.0,781693.0,898770.0,2409805.0,-0.06,2.606930082206529,1.0,0.0717783975144719,0.14977363235950691,-0.2361732728807157
2023,4576,大銀微系統,561765.0,-0.03253495678798074,-0.15,1198018.0,0.79,0.56,0.11066273384970911,0.08335364796296622,140243.0,182936.0,186295.0,509474.0,0.14,0.7532223817655607,0.7088607594936709,0.30442161106080157,0.018361612804478122,-0.10421545595597145
2023,3593,力銘,188666.0,-0.13836091293608813,-0.28,930425.0,-0.43,-0.06,-0.22029483026011512,-0.02090101180502521,72990.0,85703.0,96957.0,255650.0,-0.12,0.0948774502803636,0.13953488372093023,0.17417454445814484,0.13131395633758447,-0.03606956044349246
2023,1434,福懋,7228933.0,0.06448296034836676,0.28,16846646.0,1.21,0.35,0.2191975992253981,0.06698517948518092,2256531.0,2477621.0,2407270.0,7141422.0,0.03,0.30559266945392455,0.2892561983471074,0.09797782525478271,-0.028394576894529067,0.0835332053381221
2023,3518,柏騰,102242.0,0.0023082490561608733,0.01,807422.0,-0.08,-0.31,-0.048565914464505026,-0.30236719297821407,37611.0,32292.0,28228.0,98131.0,-0.18,6.225913715661685,3.875,-0.14142139267767406,-0.12585160411247365,0.017465917730315358
2023,9958,世紀鋼,3218818.0,0.07171700916299088,1.0,2350890.0,0.05,0.68,0.007552601965583617,0.06851582270134908,1193160.0,1206343.0,1245560.0,3645063.0,1.32,9.071816972954249,13.6,0.011048811559220884,0.03250899619759884,10.087630815040502
2023,1708,東碱,1408096.0,-0.06572066109128923,-0.37,2490017.0,1.43,1.71,0.181515787501362,0.18952948502552075,449136.0,494044.0,449308.0,1392488.0,0.42,1.044148763225891,1.1958041958041958,0.09998753161625884,-0.09055063921432094,-0.38375447327211104
