symbol,name,q2_rev,q2_margin,q2_eps,capital,q3_rev_total,target_eps,naive_pred_eps
1702,南僑,5873022.0,0.05354551711197404,1.09,2941330.0,5977273.0,0.57,1.0881341899903798
1110,東泥,604620.0,0.1140154146406007,0.1,5720008.0,890643.0,0.35,0.17752952608064276
6108,競國,1327696.0,0.00048128487244067917,0.0,1598993.0,1359690.0,2.27,0.00409256468420354
2633,台灣高鐵,13124573.0,0.12250333782287622,0.29,56282930.0,13247645.0,0.25,0.28834332732722634
2428,興勤,1949789.0,0.22429452622822266,3.41,1281127.0,1976758.0,2.96,3.4608278420316565
3535,晶彩科,414572.0,0.26240315313142226,1.38,790523.0,120664.0,-0.31,0.400527423863062
6176,瑞儀,11948057.0,0.1507286917027597,3.87,4650273.0,14162512.0,3.64,4.59047652682893
1312,國喬,5053146.0,-0.055305942080438604,-0.23,11266203.0,4311542.0,-0.29,-0.2116541767704509
1316,上曜,372961.0,0.17033684487117956,0.06,3002543.0,363601.0,-0.11,0.2062739722029152
2611,志信,165330.0,0.4375007560636303,0.37,1890023.0,169935.0,0.33,0.3933639483840833
3033,威健,22536800.0,0.016018378829292534,0.85,4507764.0,24010557.0,0.76,0.8532172445769602
1558,伸興,2062607.0,0.12861490337228565,2.06,665356.0,2442964.0,2.04,4.722307739044548
1806,冠軍,830360.0,0.006250301074232863,0.01,3904039.0,885117.0,0.18,0.014170574976125415
2891,中信金,,,0.78,201210999.0,50197002.0,1.1,
6581,鋼聯,702774.0,0.4044927672338476,2.55,1112709.0,491895.0,1.41,1.7881402032201903
2880,華南金,,,0.4,137791734.0,18083683.0,0.49,
1533,車王電,657179.0,-0.1360694727007406,-0.52,985475.0,577931.0,-0.6,-0.797978299068081
1711,永光,2201656.0,0.05901103532976996,0.22,5477522.0,2035816.0,0.08,0.21932474191963258
2731,雄獅,7421814.0,0.0396971683742007,3.15,932777.0,8015300.0,0.9,3.411155224343341
8131,福懋科,2337549.0,0.12126932954132726,0.64,4422222.0,2080389.0,0.27,0.5704991273960291
1323,永裕,791755.0,0.05872523697355874,0.29,912745.0,567534.0,1.98,0.3651465484943954
1603,華電,1141468.0,0.07140804648049705,0.51,1916880.0,1171124.0,1.02,0.4362697561997914
4119,旭富,392716.0,0.15836635125637866,0.52,1195087.0,419294.0,3.19,0.555625330069627
2820,華票,,,0.18,13429600.0,645665.0,0.31,
1409,新纖,,,0.27,16184093.0,11585094.0,0.34,
3038,全台,938903.0,0.09114892592738547,0.57,1574076.0,870627.0,0.49,0.504147931442839
6216,居易,376530.0,0.2689427137279898,1.08,944979.0,337156.0,0.72,0.9595520068665455
2328,廣宇,5446118.0,0.0604650872419584,0.53,5183462.0,6015142.0,0.55,0.7016663492522336
3605,宏致,2454508.0,0.02733663935908948,0.5,1344177.0,2688732.0,0.96,0.5468096613559328
3015,全漢,2898071.0,0.030283937143016856,0.44,1872620.0,3123488.0,0.96,0.5051292534468682
1522,堤維西,5187834.0,0.11309710372382771,1.65,3428979.0,4787846.0,1.3,1.5791625311082793
3669,圓展,732003.0,0.11515799798634704,0.91,929200.0,724818.0,0.69,0.8982844359068886
3702,大聯大,207973513.0,0.008038653460645251,0.73,18790568.0,259068457.0,1.22,1.1083015417134146
8046,南電,8120606.0,0.014604451933759623,0.19,6461655.0,9191871.0,0.09,0.20775209787712126
2397,友通,2167776.0,0.03745082517750912,0.64,1144889.0,2524804.0,0.8,0.8258965996832509
3652,精聯,701110.0,0.046054114190355294,0.43,750975.0,589667.0,0.26,0.3616177815810677
2344,華邦電,21483983.0,0.07971571193293162,0.41,41800002.0,21312431.0,-0.01,0.4064439064348565
1436,華友聯,2021757.0,0.318084715423268,5.84,1144407.0,4083498.0,12.87,11.349968142990074
2834,臺企銀,,,0.41,91679828.0,9509428.0,0.21,
2347,聯強,100209135.0,0.019382554295074995,1.09,16679470.0,108478356.0,1.35,1.2605841942282785
2395,研華,14643762.0,0.14404508896006368,2.46,8631680.0,14949502.0,2.61,2.4947661932539784
3029,零壹,4328599.0,0.05534030756833793,1.27,1548492.0,4952122.0,1.33,1.7697989695518788
2618,長榮航,55373891.0,0.1484433340615345,1.44,54004443.0,57160044.0,1.67,1.571172117535591
2816,旺旺保,2708175.0,0.10917610568002437,1.32,2236080.0,2637520.0,0.65,1.2877632385834936
2474,可成,4672447.0,0.735229741503756,5.04,6803641.0,5120304.0,2.11,5.533213446066081
6277,宏正,1211679.0,0.0886744756655847,0.88,1194711.0,1260046.0,0.91,0.9352380480678368
6165,浪凡,721309.0,0.021717460894013524,0.19,777526.0,697424.0,0.24,0.1948009255837938
3014,聯陽,1616779.0,0.2503929108431022,2.51,1610801.0,1863470.0,3.08,2.89669349329182
1808,潤隆,5262652.0,0.32760877975591013,3.82,9922575.0,1980414.0,-2.05,0.653863552506805
2465,麗臺,719381.0,-0.1850326878246715,-1.59,839460.0,1008250.0,-1.12,-2.222371613885415
2812,台中銀,,,0.38,55187566.0,4876679.0,0.37,
6142,友勁,257221.0,0.059135918140431766,0.05,3307792.0,321233.0,-0.23,0.05742927122384151
2362,藍天,6620063.0,0.05990456586289285,0.68,6322630.0,7093815.0,0.1,0.6721125669012377
2461,光群雷,1356597.0,0.1827307593928042,1.47,1722334.0,1371577.0,0.22,1.4551724971794333
2535,達欣工,4336137.0,0.09839587632955324,1.69,2707940.0,3491866.0,0.92,1.2688066024187086
8213,志超,4748497.0,0.042473860676336114,0.79,2712425.0,4646825.0,0.73,0.727646285656988
1817,凱撒衛,722577.0,0.11268418452289514,1.12,726000.0,714690.0,1.01,1.1092873255739384
2460,建通,877278.0,0.00045025636115347703,0.0,1692000.0,807704.0,-0.33,0.0021493727182571396
